date,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.54,    0.26,   -0.32,    0.49,   -0.51,    0.05,    0.02,   -1.19,    0.85,    1.42,   -1.40,   -1.21,    0.59,   -0.62,    0.84,   -0.13,    0.95
196308,    5.52,    4.17,    4.87,    6.33,    5.94,    6.95,    4.62,    5.13,    4.53,    5.77,    7.49,    5.30,    6.92,    6.27,    7.74,    4.30,    6.64
196309,   -2.06,   -2.39,   -1.63,    0.01,   -0.89,   -2.71,    0.02,   -0.45,   -3.20,   -0.91,    1.89,    0.80,   -3.44,   -2.60,   -2.83,    0.42,   -2.40
196310,    0.38,    1.37,    2.67,    5.95,    5.78,    3.80,    1.95,    1.83,    3.81,    8.76,    0.34,    6.58,    4.52,    3.64,    3.98,    1.99,    1.74
196311,   -0.85,   -0.80,    0.26,   -3.56,   -1.18,    0.59,    2.30,    0.34,    0.15,   -4.89,   -0.68,   -1.39,   -0.85,   -0.48,    1.80,    2.81,   -0.92
196312,    2.67,    2.98,    2.76,    0.92,    3.15,    2.61,    1.29,    1.35,    4.64,    1.69,   -0.65,    2.60,    4.03,    2.84,    2.36,    1.41,    0.44
196401,    2.78,    2.33,    4.16,    2.05,    2.94,    1.24,    2.75,    3.15,    5.47,    1.76,    2.65,    4.28,    0.80,    2.56,   -0.23,    3.07,    0.66
196402,    2.33,    2.68,    2.06,    1.65,    2.07,    1.56,    0.31,    2.59,    1.39,    0.76,    3.51,    3.12,    0.34,    1.61,    1.49,    0.17,    1.27
196403,    2.66,    2.78,    1.80,    1.18,    2.63,    2.80,   -0.50,    1.69,    1.94,    1.29,    0.95,    2.97,    2.05,    1.75,    3.99,   -1.00,    2.81
196404,    0.60,    0.61,    0.47,    2.27,   -2.38,   -0.78,    1.79,   -0.39,    1.56,    3.24,    0.30,   -3.03,   -1.27,   -0.69,   -0.87,    2.07,   -0.01
196405,    1.74,    1.91,    1.03,    2.93,    1.94,    1.92,   -0.03,    0.52,    1.66,    3.39,    1.95,    2.89,    0.35,    0.10,    3.96,   -0.16,    0.81
196406,    1.49,    1.34,    0.74,    1.73,    0.85,    1.26,    3.87,    0.72,    0.76,    1.57,    2.08,    1.26,    0.13,    0.99,    1.54,    4.45,    0.13
196407,    1.84,    3.08,    2.22,    4.27,   -0.57,    2.84,    0.85,    2.34,    1.85,    3.21,    5.01,   -0.68,   -0.51,    3.13,    2.62,    0.22,    1.85
196408,   -1.97,   -0.96,   -1.15,    0.21,   -2.10,   -0.86,   -0.78,   -1.09,   -1.35,   -0.77,    0.90,   -3.11,   -1.55,   -1.15,   -0.62,   -0.33,   -1.49
196409,    3.03,    3.19,    3.69,    3.71,    0.79,    3.65,    4.53,    3.69,    3.72,    3.42,    3.91,    0.82,    0.77,    3.72,    3.59,    5.37,    3.21
196410,    3.44,    0.23,    0.97,    0.92,   -1.30,    2.00,    0.04,    0.80,    1.50,    1.46,    0.56,   -2.04,   -0.90,    1.92,    2.07,   -0.90,    1.53
196411,    1.90,    0.29,    1.11,   -0.14,   -0.71,    0.57,   -0.21,    1.58,   -0.39,    2.78,   -2.14,   -0.45,   -0.85,   -0.08,    1.09,   -0.60,    0.40
196412,   -0.48,   -1.05,    0.78,    1.11,    1.93,   -0.96,    0.96,    1.09,   -0.24,   -0.35,    2.17,   -0.30,    3.13,   -1.31,   -0.69,    0.78,    1.24
196501,    1.93,    4.11,    4.50,    3.08,    3.52,    5.70,    4.83,    4.30,    5.14,    2.74,    3.32,    7.85,    1.26,    6.38,    5.17,    4.64,    5.12
196502,   -0.86,    1.47,    1.02,   -0.14,    1.45,    0.78,    2.41,    0.39,    3.05,    1.11,   -1.01,    1.87,    1.21,    0.94,    0.65,    2.41,    2.41
196503,   -2.27,   -0.35,   -2.13,   -0.64,   -0.59,   -0.57,   -1.56,   -2.39,   -1.31,   -2.31,    0.57,   -0.39,   -0.71,    0.34,   -1.31,   -2.33,   -0.38
196504,    1.96,    1.72,    2.12,    6.23,    4.06,    3.74,    3.19,    1.36,    4.55,    6.13,    6.29,    5.10,    3.47,    3.85,    3.65,    3.34,    2.96
196505,    0.05,   -0.53,    0.44,   -2.03,    0.86,   -0.56,    0.72,    0.60,   -0.06,   -0.64,   -3.00,   -1.39,    2.14,   -1.79,    0.44,    1.13,    0.09
196506,   -3.07,   -5.32,   -5.09,   -5.45,   -4.78,   -5.07,   -6.51,   -4.91,   -5.66,   -4.07,   -6.44,   -4.70,   -4.83,   -4.88,   -5.23,   -6.01,   -7.28
196507,    2.26,    2.42,    1.70,    0.23,    3.75,    2.07,    0.54,    0.81,    2.88,    0.24,    0.22,    3.51,    3.90,    2.85,    1.04,    0.19,    1.66
196508,    4.12,    3.89,    3.05,    1.69,    4.80,    2.89,    1.94,    2.26,    4.06,    1.02,    3.00,    4.39,    5.06,    2.56,    3.34,    1.15,    4.41
196509,    3.49,    2.24,    2.33,    4.13,    4.38,    4.76,    1.68,    2.51,    2.10,    5.30,    1.87,    6.90,    2.81,    5.25,    4.11,    1.21,    3.10
196510,    2.97,    3.64,    2.93,    4.09,    3.03,    2.29,    0.71,    3.37,    2.37,    4.09,    4.08,    2.49,    3.38,    2.08,    2.58,   -0.37,    3.93
196511,    2.41,   -0.13,   -0.27,   -0.74,    1.24,    2.01,   -1.77,   -0.97,    0.62,   -2.97,    3.67,   -0.10,    2.10,    1.39,    2.84,   -3.00,    1.76
196512,    1.08,    3.01,    1.77,    0.38,    0.16,    2.16,    0.39,    2.12,    1.32,    0.97,   -0.69,    2.79,   -1.49,    1.43,    3.12,   -0.29,    2.23
196601,    2.20,    1.27,    1.47,   -0.50,    1.58,    1.33,   -0.40,    0.34,    2.92,   -0.30,   -0.88,    0.67,    2.18,    0.77,    2.06,   -0.92,    0.99
196602,   -1.14,   -2.32,   -1.89,   -2.04,    0.79,   -0.57,    0.28,   -1.72,   -2.11,   -2.98,   -0.27,   -2.33,    2.81,    0.63,   -2.10,   -0.15,    1.40
196603,   -1.80,   -0.04,   -2.37,   -2.89,   -0.33,   -1.92,   -3.84,   -2.87,   -1.75,   -4.05,   -0.76,   -0.98,    0.07,   -2.84,   -0.72,   -3.95,   -3.55
196604,    2.87,    2.68,    1.90,    0.86,    5.14,    2.17,    2.22,    0.97,    3.05,    0.56,    1.38,    4.73,    5.38,    2.56,    1.68,    1.57,    3.87
